size,type,condition,board,heuristic_name,moves
10,MC,full,10 MC full,density,14283
10,MC,truncated,10 MC truncated,density,785
10,HC,full,10 HC full,density,100000
10,HC,truncated,10 HC truncated,density,31952
10,DC,full,10 DC full,density,100000
10,DC,truncated,10 DC truncated,density,2348
6,MC,full,6 MC full,density,978
6,MC,truncated,6 MC truncated,density,93
6,HC,full,6 HC full,density,1256
6,HC,truncated,6 HC truncated,density,395
10,MC,full,10 MC full,linear,18856
10,MC,truncated,10 MC truncated,linear,4106
10,HC,full,10 HC full,linear,22169
10,HC,truncated,10 HC truncated,linear,17068
10,DC,full,10 DC full,linear,100000
10,DC,truncated,10 DC truncated,linear,461
6,MC,full,6 MC full,linear,110
6,MC,truncated,6 MC truncated,linear,49
6,HC,full,6 HC full,linear,530
6,HC,truncated,6 HC truncated,linear,284
10,MC,full,10 MC full,non-linear,1551
10,MC,truncated,10 MC truncated,non-linear,216
10,HC,full,10 HC full,non-linear,1937
10,HC,truncated,10 HC truncated,non-linear,456
10,DC,full,10 DC full,non-linear,30223
10,DC,truncated,10 DC truncated,non-linear,249
6,MC,full,6 MC full,non-linear,108
6,MC,truncated,6 MC truncated,non-linear,49
6,HC,full,6 HC full,non-linear,568
6,HC,truncated,6 HC truncated,non-linear,256
10,MC,full,10 MC full,non-linear-interaction,450
10,MC,truncated,10 MC truncated,non-linear-interaction,198
10,HC,full,10 HC full,non-linear-interaction,3243
10,HC,truncated,10 HC truncated,non-linear-interaction,496
10,DC,full,10 DC full,non-linear-interaction,97098
10,DC,truncated,10 DC truncated,non-linear-interaction,255
6,MC,full,6 MC full,non-linear-interaction,112
6,MC,truncated,6 MC truncated,non-linear-interaction,49
6,HC,full,6 HC full,non-linear-interaction,830
6,HC,truncated,6 HC truncated,non-linear-interaction,296
10,MC,full,10 MC full,blocking,450
10,MC,truncated,10 MC truncated,blocking,198
10,HC,full,10 HC full,blocking,808
10,HC,truncated,10 HC truncated,blocking,398
10,DC,full,10 DC full,blocking,100000
10,DC,truncated,10 DC truncated,blocking,244
6,MC,full,6 MC full,blocking,111
6,MC,truncated,6 MC truncated,blocking,51
6,HC,full,6 HC full,blocking,336
6,HC,truncated,6 HC truncated,blocking,133
6,MC,truncated,6 MC truncated,participants,15
10,DC,full,10 DC full,participants,12
6,MC,full,6 MC full,participants,19
10,MC,full,10 MC full,participants,43
6,MC,truncated,6 MC truncated,participants,5
10,DC,truncated,10 DC truncated,participants,21
6,MC,full,6 MC full,participants,21
10,MC,truncated,10 MC truncated,participants,58
10,HC,full,10 HC full,participants,25
10,DC,truncated,10 DC truncated,participants,22
10,MC,full,10 MC full,participants,27
10,MC,full,10 MC full,participants,26
10,DC,truncated,10 DC truncated,participants,17
6,MC,full,6 MC full,participants,28
6,HC,full,6 HC full,participants,96
10,MC,full,10 MC full,participants,8
10,MC,full,10 MC full,participants,56
10,MC,truncated,10 MC truncated,participants,31
10,DC,truncated,10 DC truncated,participants,41
6,MC,full,6 MC full,participants,11
6,HC,full,6 HC full,participants,17
6,MC,truncated,6 MC truncated,participants,8
10,DC,full,10 DC full,participants,55
10,DC,full,10 DC full,participants,2
10,HC,full,10 HC full,participants,2
6,MC,truncated,6 MC truncated,participants,40
10,MC,truncated,10 MC truncated,participants,27
6,MC,full,6 MC full,participants,11
10,HC,truncated,10 HC truncated,participants,5
6,HC,full,6 HC full,participants,57
10,MC,full,10 MC full,participants,18
6,MC,truncated,6 MC truncated,participants,24
10,MC,full,10 MC full,participants,15
10,DC,full,10 DC full,participants,40
6,HC,truncated,6 HC truncated,participants,17
6,HC,full,6 HC full,participants,49
6,HC,truncated,6 HC truncated,participants,9
6,HC,truncated,6 HC truncated,participants,33
10,HC,full,10 HC full,participants,24
10,HC,full,10 HC full,participants,3
6,HC,full,6 HC full,participants,26
6,MC,full,6 MC full,participants,44
6,HC,full,6 HC full,participants,16
10,DC,full,10 DC full,participants,2
10,HC,full,10 HC full,participants,35
10,MC,full,10 MC full,participants,28
6,MC,truncated,6 MC truncated,participants,2
10,DC,full,10 DC full,participants,25
6,HC,full,6 HC full,participants,16
6,HC,truncated,6 HC truncated,participants,2
10,HC,full,10 HC full,participants,27
6,MC,truncated,6 MC truncated,participants,6
10,HC,full,10 HC full,participants,3
6,MC,truncated,6 MC truncated,participants,36
10,MC,full,10 MC full,participants,13
10,DC,full,10 DC full,participants,13
10,HC,full,10 HC full,participants,21
10,MC,full,10 MC full,participants,172
10,HC,truncated,10 HC truncated,participants,6
6,HC,full,6 HC full,participants,13
10,HC,truncated,10 HC truncated,participants,31
10,DC,full,10 DC full,participants,12
6,HC,full,6 HC full,participants,34
6,MC,truncated,6 MC truncated,participants,102
10,DC,full,10 DC full,participants,12
6,MC,truncated,6 MC truncated,participants,42
6,HC,full,6 HC full,participants,5
6,HC,truncated,6 HC truncated,participants,19
10,DC,full,10 DC full,participants,19
6,MC,truncated,6 MC truncated,participants,21
6,MC,truncated,6 MC truncated,participants,8
6,MC,full,6 MC full,participants,53
10,HC,full,10 HC full,participants,37
10,DC,full,10 DC full,participants,55
10,HC,full,10 HC full,participants,5
10,DC,full,10 DC full,participants,11
10,MC,full,10 MC full,participants,61
10,DC,full,10 DC full,participants,9
6,MC,truncated,6 MC truncated,participants,8
6,MC,truncated,6 MC truncated,participants,15
10,MC,truncated,10 MC truncated,participants,5
6,HC,truncated,6 HC truncated,participants,41
6,HC,truncated,6 HC truncated,participants,41
10,DC,truncated,10 DC truncated,participants,12
10,DC,truncated,10 DC truncated,participants,14
10,MC,truncated,10 MC truncated,participants,28
10,DC,truncated,10 DC truncated,participants,16
10,MC,truncated,10 MC truncated,participants,32
10,HC,full,10 HC full,participants,66
6,HC,full,6 HC full,participants,23
6,HC,full,6 HC full,participants,74
6,MC,full,6 MC full,participants,39
10,MC,full,10 MC full,participants,75
10,MC,full,10 MC full,participants,80
10,HC,truncated,10 HC truncated,participants,34
6,HC,full,6 HC full,participants,94
6,HC,full,6 HC full,participants,55
10,DC,truncated,10 DC truncated,participants,9
10,MC,full,10 MC full,participants,22
6,MC,truncated,6 MC truncated,participants,6
10,DC,truncated,10 DC truncated,participants,6
10,MC,full,10 MC full,participants,12
6,HC,full,6 HC full,participants,9
6,HC,full,6 HC full,participants,30
10,MC,full,10 MC full,participants,64
6,HC,truncated,6 HC truncated,participants,13
10,HC,full,10 HC full,participants,47
10,HC,truncated,10 HC truncated,participants,24
10,MC,full,10 MC full,participants,45
10,HC,truncated,10 HC truncated,participants,73
10,HC,truncated,10 HC truncated,participants,46
6,MC,full,6 MC full,participants,22
10,HC,full,10 HC full,participants,28
10,HC,truncated,10 HC truncated,participants,60
6,MC,truncated,6 MC truncated,participants,5
6,HC,truncated,6 HC truncated,participants,8
10,HC,truncated,10 HC truncated,participants,13
10,DC,truncated,10 DC truncated,participants,2
6,MC,full,6 MC full,participants,32
6,MC,truncated,6 MC truncated,participants,43
6,HC,full,6 HC full,participants,41
10,DC,truncated,10 DC truncated,participants,25
10,HC,truncated,10 HC truncated,participants,101
6,HC,truncated,6 HC truncated,participants,63
10,MC,full,10 MC full,participants,25
6,HC,full,6 HC full,participants,75
10,DC,full,10 DC full,participants,33
10,MC,truncated,10 MC truncated,participants,10
10,MC,full,10 MC full,participants,5
10,MC,full,10 MC full,participants,34
10,MC,full,10 MC full,participants,48
10,MC,full,10 MC full,participants,14
10,DC,truncated,10 DC truncated,participants,17
10,DC,truncated,10 DC truncated,participants,16
10,MC,full,10 MC full,participants,16
10,MC,full,10 MC full,participants,46
6,MC,truncated,6 MC truncated,participants,19
10,DC,full,10 DC full,participants,24
10,DC,full,10 DC full,participants,32
10,MC,truncated,10 MC truncated,participants,8
6,HC,full,6 HC full,participants,38
10,MC,full,10 MC full,participants,47
10,DC,truncated,10 DC truncated,participants,95
6,HC,full,6 HC full,participants,9
10,MC,truncated,10 MC truncated,participants,65
6,MC,full,6 MC full,participants,35
10,HC,truncated,10 HC truncated,participants,56
6,HC,full,6 HC full,participants,12
10,DC,truncated,10 DC truncated,participants,6
10,DC,full,10 DC full,participants,14
10,DC,full,10 DC full,participants,13
10,DC,full,10 DC full,participants,48
10,DC,full,10 DC full,participants,70
10,DC,truncated,10 DC truncated,participants,50
6,MC,truncated,6 MC truncated,participants,2
6,HC,full,6 HC full,participants,29
10,DC,truncated,10 DC truncated,participants,41
6,HC,full,6 HC full,participants,56
6,MC,full,6 MC full,participants,33
10,DC,full,10 DC full,participants,49
6,HC,full,6 HC full,participants,25
6,MC,truncated,6 MC truncated,participants,31
6,MC,full,6 MC full,participants,32
10,MC,full,10 MC full,participants,44
6,HC,truncated,6 HC truncated,participants,34
10,DC,full,10 DC full,participants,49
10,DC,truncated,10 DC truncated,participants,10
10,DC,full,10 DC full,participants,3
10,MC,truncated,10 MC truncated,participants,23
6,MC,truncated,6 MC truncated,participants,8
10,DC,full,10 DC full,participants,35
6,MC,full,6 MC full,participants,7
6,HC,full,6 HC full,participants,27
6,MC,full,6 MC full,participants,106
10,MC,full,10 MC full,participants,33
6,MC,truncated,6 MC truncated,participants,35
6,HC,truncated,6 HC truncated,participants,11
10,MC,full,10 MC full,participants,24
6,HC,full,6 HC full,participants,16
10,MC,full,10 MC full,participants,77
6,MC,full,6 MC full,participants,22
10,MC,full,10 MC full,participants,10
6,MC,full,6 MC full,participants,18
10,MC,full,10 MC full,participants,8
6,MC,truncated,6 MC truncated,participants,0
10,MC,full,10 MC full,participants,30
6,HC,full,6 HC full,participants,40
10,MC,truncated,10 MC truncated,participants,67
6,HC,full,6 HC full,participants,12
6,HC,full,6 HC full,participants,55
6,MC,full,6 MC full,participants,66
10,HC,full,10 HC full,participants,12
10,DC,truncated,10 DC truncated,participants,13
6,MC,full,6 MC full,participants,58
10,MC,truncated,10 MC truncated,participants,31
10,DC,truncated,10 DC truncated,participants,19
6,MC,full,6 MC full,participants,150
10,MC,truncated,10 MC truncated,participants,25
10,MC,full,10 MC full,participants,77
10,MC,full,10 MC full,participants,15
10,HC,full,10 HC full,participants,26
6,HC,truncated,6 HC truncated,participants,0
6,HC,truncated,6 HC truncated,participants,8
10,HC,truncated,10 HC truncated,participants,6
10,DC,truncated,10 DC truncated,participants,23
10,HC,truncated,10 HC truncated,participants,69
10,MC,truncated,10 MC truncated,participants,15
6,MC,truncated,6 MC truncated,participants,13
10,HC,full,10 HC full,participants,12
10,HC,truncated,10 HC truncated,participants,70
10,DC,truncated,10 DC truncated,participants,11
10,HC,full,10 HC full,participants,15
10,HC,truncated,10 HC truncated,participants,70
10,HC,truncated,10 HC truncated,participants,11
10,DC,truncated,10 DC truncated,participants,4
10,DC,truncated,10 DC truncated,participants,34
6,HC,truncated,6 HC truncated,participants,31
10,HC,full,10 HC full,participants,18
10,DC,full,10 DC full,participants,46
10,MC,truncated,10 MC truncated,participants,3
6,HC,truncated,6 HC truncated,participants,18
6,MC,full,6 MC full,participants,49
10,HC,truncated,10 HC truncated,participants,18
10,DC,full,10 DC full,participants,4
6,HC,full,6 HC full,participants,15
10,MC,truncated,10 MC truncated,participants,20
10,DC,truncated,10 DC truncated,participants,55
6,HC,truncated,6 HC truncated,participants,18
10,HC,full,10 HC full,participants,48
10,HC,full,10 HC full,participants,14
10,MC,truncated,10 MC truncated,participants,17
10,HC,truncated,10 HC truncated,participants,16
10,HC,truncated,10 HC truncated,participants,37
10,DC,full,10 DC full,participants,13
6,HC,truncated,6 HC truncated,participants,26
10,HC,truncated,10 HC truncated,participants,10
6,MC,truncated,6 MC truncated,participants,30
6,MC,truncated,6 MC truncated,participants,33
10,HC,truncated,10 HC truncated,participants,10
10,MC,truncated,10 MC truncated,participants,5
10,DC,full,10 DC full,participants,77
6,MC,truncated,6 MC truncated,participants,13
10,DC,full,10 DC full,participants,6
10,HC,full,10 HC full,participants,16
10,MC,truncated,10 MC truncated,participants,11
6,HC,full,6 HC full,participants,54
6,MC,truncated,6 MC truncated,participants,3
6,MC,truncated,6 MC truncated,participants,15
10,HC,truncated,10 HC truncated,participants,51
10,MC,full,10 MC full,participants,35
10,DC,full,10 DC full,participants,101
6,MC,full,6 MC full,participants,24
6,MC,truncated,6 MC truncated,participants,2
6,MC,full,6 MC full,participants,61
6,MC,full,6 MC full,participants,13
6,HC,truncated,6 HC truncated,participants,19
10,DC,truncated,10 DC truncated,participants,51
10,HC,truncated,10 HC truncated,participants,14
10,DC,full,10 DC full,participants,15
6,HC,truncated,6 HC truncated,participants,71
10,MC,truncated,10 MC truncated,participants,64
6,MC,truncated,6 MC truncated,participants,22
10,DC,full,10 DC full,participants,10
10,HC,truncated,10 HC truncated,participants,20
10,MC,full,10 MC full,participants,42
10,MC,truncated,10 MC truncated,participants,47
10,HC,truncated,10 HC truncated,participants,0
10,DC,full,10 DC full,participants,97
6,MC,truncated,6 MC truncated,participants,6
6,MC,truncated,6 MC truncated,participants,19
10,HC,full,10 HC full,participants,15
10,MC,full,10 MC full,participants,32
6,HC,full,6 HC full,participants,22
10,DC,full,10 DC full,participants,36
10,HC,truncated,10 HC truncated,participants,36
6,HC,truncated,6 HC truncated,participants,43
10,DC,truncated,10 DC truncated,participants,3
6,HC,truncated,6 HC truncated,participants,101
6,HC,full,6 HC full,participants,61
10,HC,full,10 HC full,participants,28
6,MC,full,6 MC full,participants,35
10,MC,full,10 MC full,participants,13
10,HC,full,10 HC full,participants,31
10,MC,truncated,10 MC truncated,participants,43
6,MC,full,6 MC full,participants,80
10,DC,truncated,10 DC truncated,participants,118
6,HC,full,6 HC full,participants,14
10,HC,truncated,10 HC truncated,participants,71
10,HC,truncated,10 HC truncated,participants,0
10,MC,truncated,10 MC truncated,participants,2
10,DC,full,10 DC full,participants,35
10,DC,truncated,10 DC truncated,participants,7
10,MC,full,10 MC full,participants,29
10,HC,truncated,10 HC truncated,participants,32
10,HC,full,10 HC full,participants,22
10,HC,truncated,10 HC truncated,participants,35
10,DC,full,10 DC full,participants,21
10,DC,full,10 DC full,participants,30
6,HC,full,6 HC full,participants,43
10,MC,full,10 MC full,participants,81
10,HC,truncated,10 HC truncated,participants,35
10,MC,full,10 MC full,participants,50
10,HC,truncated,10 HC truncated,participants,53
10,MC,full,10 MC full,participants,51
10,DC,full,10 DC full,participants,11
10,DC,truncated,10 DC truncated,participants,18
10,HC,full,10 HC full,participants,84
10,HC,truncated,10 HC truncated,participants,56
6,MC,truncated,6 MC truncated,participants,44
10,DC,truncated,10 DC truncated,participants,65
10,MC,full,10 MC full,participants,59
6,MC,truncated,6 MC truncated,participants,30
10,DC,full,10 DC full,participants,18
6,MC,truncated,6 MC truncated,participants,21
6,MC,full,6 MC full,participants,9
6,MC,full,6 MC full,participants,50
10,DC,truncated,10 DC truncated,participants,53
6,HC,truncated,6 HC truncated,participants,25
10,MC,full,10 MC full,participants,70
10,MC,truncated,10 MC truncated,participants,8
10,HC,truncated,10 HC truncated,participants,87
10,HC,full,10 HC full,participants,38
10,MC,truncated,10 MC truncated,participants,18
6,HC,truncated,6 HC truncated,participants,4
10,MC,truncated,10 MC truncated,participants,31
10,MC,full,10 MC full,participants,39
10,MC,full,10 MC full,participants,85
10,DC,truncated,10 DC truncated,participants,17
10,MC,truncated,10 MC truncated,participants,4
10,MC,full,10 MC full,participants,86
6,HC,truncated,6 HC truncated,participants,16
10,HC,full,10 HC full,participants,37
10,DC,full,10 DC full,participants,13
6,HC,full,6 HC full,participants,48
6,MC,full,6 MC full,participants,4
10,HC,full,10 HC full,participants,33
6,MC,truncated,6 MC truncated,participants,35
10,MC,full,10 MC full,participants,101
6,HC,full,6 HC full,participants,68
6,HC,full,6 HC full,participants,14
10,MC,truncated,10 MC truncated,participants,83
10,MC,full,10 MC full,participants,74
10,MC,full,10 MC full,participants,76
10,HC,truncated,10 HC truncated,participants,26
10,MC,truncated,10 MC truncated,participants,13
10,DC,truncated,10 DC truncated,participants,16
6,MC,full,6 MC full,participants,29
6,MC,truncated,6 MC truncated,participants,65
6,HC,full,6 HC full,participants,28
10,HC,truncated,10 HC truncated,participants,7
6,HC,truncated,6 HC truncated,participants,6
6,MC,full,6 MC full,participants,39
6,HC,full,6 HC full,participants,69
6,MC,truncated,6 MC truncated,participants,32
6,HC,truncated,6 HC truncated,participants,41
6,HC,truncated,6 HC truncated,participants,2
6,HC,truncated,6 HC truncated,participants,10
6,MC,truncated,6 MC truncated,participants,9
6,HC,truncated,6 HC truncated,participants,16
6,HC,full,6 HC full,participants,35
10,HC,full,10 HC full,participants,18
6,HC,truncated,6 HC truncated,participants,8
10,DC,full,10 DC full,participants,8
6,HC,truncated,6 HC truncated,participants,30
10,HC,full,10 HC full,participants,4
10,DC,truncated,10 DC truncated,participants,16
10,MC,truncated,10 MC truncated,participants,93
10,HC,full,10 HC full,participants,38
6,MC,truncated,6 MC truncated,participants,59
6,HC,truncated,6 HC truncated,participants,47
6,MC,full,6 MC full,participants,5
6,MC,truncated,6 MC truncated,participants,47
10,MC,truncated,10 MC truncated,participants,47
6,MC,full,6 MC full,participants,22
6,MC,full,6 MC full,participants,31
10,MC,truncated,10 MC truncated,participants,8
6,MC,truncated,6 MC truncated,participants,52
6,HC,truncated,6 HC truncated,participants,8
10,MC,full,10 MC full,participants,74
