,board,correct,inverse_computation,k,move_limit,noise,shutter_size
0,10_easy_full,0.36,0.00305278261135,5,30,0.0,0.0
1,10_easy_pruned,0.47,0.00314594016422,5,30,0.0,0.0
2,10_hard_full,0.21,0.00274416179578,5,30,0.0,0.0
3,10_hard_pruned,0.14,0.00280875207145,5,30,0.0,0.0
4,10_medium_full,0.1,0.00261130695913,5,30,0.0,0.0
5,10_medium_pruned,0.34,0.0027193865064,5,30,0.0,0.0
6,6_easy_full,0.82,0.014852220407,5,30,0.0,0.0
7,6_easy_pruned,0.89,0.0157753588894,5,30,0.0,0.0
8,6_easy_pruned,0.96,0.00651168848082,5,30,0.0,2.0
9,6_hard_full,0.28,0.00596267366287,5,30,0.0,0.0
10,6_hard_pruned,0.2,0.00664849411608,5,30,0.0,0.0
11,10_easy_full,0.37,0.00301522689582,10,30,0.0,0.0
12,10_easy_pruned,0.59,0.00304349149344,10,30,0.0,0.0
13,10_hard_full,0.18,0.00284446467175,10,30,0.0,0.0
14,10_hard_pruned,0.11,0.00282757450659,10,30,0.0,0.0
15,10_medium_full,0.11,0.00263289539507,10,30,0.0,0.0
16,10_medium_pruned,0.37,0.00255604120338,10,30,0.0,0.0
17,6_easy_full,0.71,0.0151285930408,10,30,0.0,0.0
18,6_easy_full,0.86,0.00892618048737,10,30,0.0,0.5
19,6_easy_pruned,0.89,0.0147318797879,10,30,0.0,0.0
20,6_hard_full,0.15,0.00639836201932,10,30,0.0,0.0
21,6_hard_pruned,0.15,0.00735186002059,10,30,0.0,0.0
22,10_easy_full,0.32,0.00293435840254,5,30,0.25,0.0
23,10_easy_pruned,0.48,0.00314090081035,5,30,0.25,0.0
24,10_hard_full,0.23,0.00283414578846,5,30,0.25,0.0
25,10_hard_pruned,0.06,0.00274175417432,5,30,0.25,0.0
26,10_hard_pruned,0.15,0.00110542431712,5,30,0.25,1.0
27,10_medium_full,0.09,0.00250231464104,5,30,0.25,0.0
28,10_medium_full,0.19,0.000706963591375,5,30,0.25,2.0
29,10_medium_pruned,0.32,0.0027389006053,5,30,0.25,0.0
30,6_easy_full,0.63,0.0138792505205,5,30,0.25,0.0
31,6_easy_full,0.75,0.00869565217391,5,30,0.25,0.5
32,6_easy_pruned,0.87,0.0154966682163,5,30,0.25,0.0
33,6_hard_full,0.31,0.00612369871402,5,30,0.25,0.0
34,6_hard_pruned,0.21,0.00673083395033,5,30,0.25,0.0
35,10_easy_full,0.25,0.00296515937732,10,30,0.25,0.0
36,10_easy_full,0.37,0.000881134901753,10,30,0.25,2.0
37,10_easy_pruned,0.54,0.00298222593344,10,30,0.25,0.0
38,10_hard_full,0.14,0.00283438678042,10,30,0.25,0.0
39,10_hard_pruned,0.1,0.00283213911467,10,30,0.25,0.0
40,10_medium_full,0.1,0.0025706940874,10,30,0.25,0.0
41,10_medium_pruned,0.4,0.00256732818156,10,30,0.25,0.0
42,6_easy_full,0.7,0.0141904356464,10,30,0.25,0.0
43,6_easy_pruned,0.83,0.0142714428429,10,30,0.25,0.0
44,6_easy_pruned,0.93,0.00929022668153,10,30,0.25,0.5
45,6_hard_full,0.08,0.00637226789014,10,30,0.25,0.0
46,6_hard_pruned,0.13,0.00715154115712,10,30,0.25,0.0
47,10_easy_full,0.32,0.00292184075968,5,30,0.5,0.0
48,10_easy_pruned,0.39,0.00305670181874,5,30,0.5,0.0
49,10_hard_full,0.27,0.00279540435524,5,30,0.5,0.0
50,10_hard_pruned,0.15,0.00279002287819,5,30,0.5,0.0
51,10_medium_full,0.04,0.00251597645046,5,30,0.5,0.0
52,10_medium_full,0.2,0.0012142258703,5,30,0.5,0.5
53,10_medium_pruned,0.37,0.00273119571749,5,30,0.5,0.0
54,6_easy_full,0.58,0.0130599451482,5,30,0.5,0.0
55,6_easy_full,0.7,0.00841325929665,5,30,0.5,0.5
56,6_easy_pruned,0.86,0.0153303694619,5,30,0.5,0.0
57,6_hard_full,0.19,0.00611583389395,5,30,0.5,0.0
58,6_hard_pruned,0.13,0.0069328896284,5,30,0.5,0.0
59,10_easy_full,0.37,0.00298204807061,10,30,0.5,0.0
60,10_easy_pruned,0.59,0.0028901734104,10,30,0.5,0.0
61,10_hard_full,0.2,0.0028384093554,10,30,0.5,0.0
62,10_hard_pruned,0.08,0.00283535115824,10,30,0.5,0.0
63,10_medium_full,0.1,0.00258819266506,10,30,0.5,0.0
64,10_medium_pruned,0.39,0.00255382179432,10,30,0.5,0.0
65,6_easy_full,0.65,0.0138331719463,10,30,0.5,0.0
66,6_easy_full,0.83,0.00848968503269,10,30,0.5,0.5
67,6_easy_pruned,0.82,0.0139958012596,10,30,0.5,0.0
68,6_hard_full,0.14,0.00647584509779,10,30,0.5,0.0
69,6_hard_pruned,0.16,0.00727272727273,10,30,0.5,0.0
70,10_easy_full,0.25,0.00292928701154,5,30,0.75,0.0
71,10_easy_pruned,0.43,0.0031927460809,5,30,0.75,0.0
72,10_hard_full,0.19,0.00275103163686,5,30,0.75,0.0
73,10_hard_pruned,0.07,0.00282781438226,5,30,0.75,0.0
74,10_hard_pruned,0.14,0.00136765228808,5,30,0.75,0.5
75,10_medium_full,0.05,0.00254783561365,5,30,0.75,0.0
76,10_medium_pruned,0.27,0.00273912567109,5,30,0.75,0.0
77,10_medium_pruned,0.38,0.00132874473485,5,30,0.75,0.5
78,6_easy_full,0.55,0.0135685210312,5,30,0.75,0.0
79,6_easy_full,0.71,0.00716794495018,5,30,0.75,1.0
80,6_easy_pruned,0.8,0.015192950471,5,30,0.75,0.0
81,6_easy_pruned,0.89,0.0095529231945,5,30,0.75,0.5
82,6_hard_full,0.28,0.0062825909405,5,30,0.75,0.0
83,6_hard_pruned,0.19,0.0067732321864,5,30,0.75,0.0
84,6_hard_pruned,0.31,0.00220828548715,5,30,0.75,2.0
85,10_easy_full,0.3,0.00292585873954,10,30,0.75,0.0
86,10_easy_pruned,0.59,0.00295281403177,10,30,0.75,0.0
87,10_hard_full,0.17,0.00281817157029,10,30,0.75,0.0
88,10_hard_pruned,0.11,0.00280151281692,10,30,0.75,0.0
89,10_medium_full,0.1,0.00255154113084,10,30,0.75,0.0
90,10_medium_pruned,0.32,0.00256436557596,10,30,0.75,0.0
91,6_easy_full,0.63,0.0136593361563,10,30,0.75,0.0
92,6_easy_pruned,0.74,0.0138908181692,10,30,0.75,0.0
93,6_easy_pruned,0.84,0.00867678958785,10,30,0.75,0.5
94,6_hard_full,0.15,0.00638691958868,10,30,0.75,0.0
95,6_hard_pruned,0.18,0.0071367399372,10,30,0.75,0.0
96,10_easy_full,0.26,0.00289821469974,5,30,1.0,0.0
97,10_easy_pruned,0.41,0.0032421216444,5,30,1.0,0.0
98,10_hard_full,0.18,0.00281618744544,5,30,1.0,0.0
99,10_hard_pruned,0.08,0.00281373100732,5,30,1.0,0.0
100,10_medium_full,0.12,0.00252735865747,5,30,1.0,0.0
101,10_medium_pruned,0.38,0.00282119280032,5,30,1.0,0.0
102,6_easy_full,0.52,0.0134066228717,5,30,1.0,0.0
103,6_easy_pruned,0.75,0.0147015583652,5,30,1.0,0.0
104,6_easy_pruned,0.85,0.00796305144131,5,30,1.0,1.0
105,6_hard_full,0.21,0.00633593106507,5,30,1.0,0.0
106,6_hard_pruned,0.12,0.00679209400258,5,30,1.0,0.0
107,10_easy_full,0.23,0.00291791894021,10,30,1.0,0.0
108,10_easy_pruned,0.43,0.0029823148728,10,30,1.0,0.0
109,10_hard_full,0.12,0.0028930999566,10,30,1.0,0.0
110,10_hard_pruned,0.13,0.00283254022207,10,30,1.0,0.0
111,10_medium_full,0.08,0.00256154102308,10,30,1.0,0.0
112,10_medium_pruned,0.29,0.00258825965421,10,30,1.0,0.0
113,10_medium_pruned,0.39,0.00121245923106,10,30,1.0,0.5
114,6_easy_full,0.58,0.0133815067577,10,30,1.0,0.0
115,6_easy_full,0.71,0.0087496718873,10,30,1.0,0.5
116,6_easy_pruned,0.76,0.0136351240796,10,30,1.0,0.0
117,6_easy_pruned,0.86,0.00870170553428,10,30,1.0,0.5
118,6_hard_full,0.15,0.00650956906653,10,30,1.0,0.0
119,6_hard_pruned,0.13,0.0071530758226,10,30,1.0,0.0
120,10_easy_full,0.24,0.00298418382572,5,30,1.25,0.0
121,10_easy_full,0.34,0.000875932868505,5,30,1.25,2.0
122,10_easy_pruned,0.3,0.00322092311657,5,30,1.25,0.0
123,10_easy_pruned,0.46,0.00157547303578,5,30,1.25,0.5
124,10_hard_full,0.14,0.00284584080367,5,30,1.25,0.0
125,10_hard_pruned,0.14,0.00282613610671,5,30,1.25,0.0
126,10_medium_full,0.12,0.00256337955961,5,30,1.25,0.0
127,10_medium_pruned,0.28,0.00278287972394,5,30,1.25,0.0
128,10_medium_pruned,0.38,0.00137822677343,5,30,1.25,0.5
129,6_easy_full,0.45,0.0132961042415,5,30,1.25,0.0
130,6_easy_full,0.61,0.0085631101216,5,30,1.25,0.5
131,6_easy_pruned,0.75,0.0149342891278,5,30,1.25,0.0
132,6_easy_pruned,0.88,0.00942329438372,5,30,1.25,0.5
133,6_hard_full,0.14,0.00630318310747,5,30,1.25,0.0
134,6_hard_pruned,0.11,0.00659891777748,5,30,1.25,0.0
135,10_easy_full,0.37,0.00294273438879,10,30,1.25,0.0
136,10_easy_pruned,0.41,0.00288292443855,10,30,1.25,0.0
137,10_easy_pruned,0.58,0.00139971725711,10,30,1.25,0.5
138,10_hard_full,0.12,0.00285632676378,10,30,1.25,0.0
139,10_hard_pruned,0.05,0.00286327845383,10,30,1.25,0.0
140,10_medium_full,0.09,0.00258585022755,10,30,1.25,0.0
141,10_medium_pruned,0.32,0.00256298536535,10,30,1.25,0.0
142,10_medium_pruned,0.46,0.000740274641892,10,30,1.25,2.0
143,6_easy_full,0.5,0.0130276185513,10,30,1.25,0.0
144,6_easy_full,0.65,0.00827677536832,10,30,1.25,0.5
145,6_easy_pruned,0.65,0.0142389292325,10,30,1.25,0.0
146,6_easy_pruned,0.83,0.00880359186548,10,30,1.25,0.5
147,6_hard_full,0.05,0.00643500643501,10,30,1.25,0.0
148,6_hard_pruned,0.18,0.00713165026387,10,30,1.25,0.0
149,10_easy_full,0.14,0.00288508698537,5,30,1.5,0.0
150,10_easy_full,0.27,0.00117839761492,5,30,1.5,1.0
151,10_easy_pruned,0.38,0.00326392062145,5,30,1.5,0.0
152,10_easy_pruned,0.49,0.00157185746397,5,30,1.5,0.5
153,10_hard_full,0.19,0.00289939112786,5,30,1.5,0.0
154,10_hard_pruned,0.13,0.0028547774701,5,30,1.5,0.0
155,10_medium_full,0.1,0.00256798746822,5,30,1.5,0.0
156,10_medium_pruned,0.24,0.00280300482117,5,30,1.5,0.0
157,6_easy_full,0.58,0.0130667712008,5,30,1.5,0.0
158,6_easy_pruned,0.68,0.014465499783,5,30,1.5,0.0
159,6_easy_pruned,0.79,0.00923616883717,5,30,1.5,0.5
160,6_hard_full,0.1,0.00628535512256,5,30,1.5,0.0
161,6_hard_pruned,0.11,0.0069094175361,5,30,1.5,0.0
162,10_easy_full,0.23,0.00300273248656,10,30,1.5,0.0
163,10_easy_pruned,0.25,0.00286647939001,10,30,1.5,0.0
164,10_easy_pruned,0.49,0.00141898315667,10,30,1.5,0.5
165,10_hard_full,0.14,0.00290132590594,10,30,1.5,0.0
166,10_hard_pruned,0.09,0.00283446712018,10,30,1.5,0.0
167,10_medium_full,0.08,0.00257818341197,10,30,1.5,0.0
168,10_medium_pruned,0.37,0.00260586319218,10,30,1.5,0.0
169,6_easy_full,0.48,0.0135153399108,10,30,1.5,0.0
170,6_easy_full,0.68,0.00815261699005,10,30,1.5,0.5
171,6_easy_pruned,0.67,0.0138370001384,10,30,1.5,0.0
172,6_easy_pruned,0.86,0.00746602956548,10,30,1.5,1.0
173,6_hard_full,0.1,0.00656512605042,10,30,1.5,0.0
174,6_hard_pruned,0.15,0.00726269155349,10,30,1.5,0.0
175,10_easy_full,0.22,0.00298098133906,5,30,1.75,0.0
176,10_easy_pruned,0.31,0.0031917270435,5,30,1.75,0.0
177,10_hard_full,0.15,0.00286861732645,5,30,1.75,0.0
178,10_hard_pruned,0.12,0.00278055833611,5,30,1.75,0.0
179,10_medium_full,0.05,0.00256752593201,5,30,1.75,0.0
180,10_medium_full,0.13,0.00122488975992,5,30,1.75,0.5
181,10_medium_pruned,0.17,0.00288317379772,5,30,1.75,0.0
182,10_medium_pruned,0.28,0.00139958012596,5,30,1.75,0.5
183,6_easy_full,0.41,0.013453518095,5,30,1.75,0.0
184,6_easy_full,0.63,0.00563856780378,5,30,1.75,2.0
185,6_easy_pruned,0.7,0.014465499783,5,30,1.75,0.0
186,6_hard_full,0.14,0.00643210908857,5,30,1.75,0.0
187,6_hard_pruned,0.18,0.00696912676842,5,30,1.75,0.0
188,10_easy_full,0.24,0.00296630280019,10,30,1.75,0.0
189,10_easy_pruned,0.48,0.00293392794273,10,30,1.75,0.0
190,10_hard_full,0.11,0.00284681299285,10,30,1.75,0.0
191,10_hard_pruned,0.11,0.00289050757313,10,30,1.75,0.0
192,10_medium_full,0.08,0.00260647448261,10,30,1.75,0.0
193,10_medium_pruned,0.39,0.00260538794226,10,30,1.75,0.0
194,6_easy_full,0.61,0.0136574706364,10,30,1.75,0.0
195,6_easy_pruned,0.63,0.0137969094923,10,30,1.75,0.0
196,6_easy_pruned,0.77,0.00872524212547,10,30,1.75,0.5
197,6_hard_full,0.03,0.00655222120299,10,30,1.75,0.0
198,6_hard_full,0.08,0.00382248385001,10,30,1.75,0.5
199,6_hard_pruned,0.12,0.00727166957533,10,30,1.75,0.0
200,10_easy_full,0.15,0.00291749328977,5,30,2.0,0.0
201,10_easy_pruned,0.26,0.00327235838869,5,30,2.0,0.0
202,10_hard_full,0.12,0.00282469916954,5,30,2.0,0.0
203,10_hard_full,0.22,0.00144678019069,5,30,2.0,0.5
204,10_hard_pruned,0.11,0.00287629073547,5,30,2.0,0.0
205,10_medium_full,0.12,0.00257831635942,5,30,2.0,0.0
206,10_medium_pruned,0.27,0.00280127738249,5,30,2.0,0.0
207,6_easy_full,0.41,0.0130582397493,5,30,2.0,0.0
208,6_easy_pruned,0.5,0.0147688672279,5,30,2.0,0.0
209,6_easy_pruned,0.75,0.00935891436593,5,30,2.0,0.5
210,6_hard_full,0.18,0.00636294222448,5,30,2.0,0.0
211,6_hard_pruned,0.13,0.00673945275644,5,30,2.0,0.0
212,10_easy_full,0.19,0.0030580104584,10,30,2.0,0.0
213,10_easy_pruned,0.42,0.00297583620998,10,30,2.0,0.0
214,10_hard_full,0.15,0.00290486564996,10,30,2.0,0.0
215,10_hard_pruned,0.1,0.00280835767243,10,30,2.0,0.0
216,10_medium_full,0.07,0.00261643118786,10,30,2.0,0.0
217,10_medium_pruned,0.26,0.00259437021663,10,30,2.0,0.0
218,6_easy_full,0.51,0.0135391280802,10,30,2.0,0.0
219,6_easy_pruned,0.66,0.0134734572891,10,30,2.0,0.0
220,6_easy_pruned,0.81,0.00732815477063,10,30,2.0,1.0
221,6_hard_full,0.09,0.0066106961063,10,30,2.0,0.0
222,6_hard_pruned,0.14,0.00715154115712,10,30,2.0,0.0
223,10_easy_full,0.19,0.0030267259905,5,30,2.25,0.0
224,10_easy_pruned,0.29,0.00336530371866,5,30,2.25,0.0
225,10_hard_full,0.17,0.00288217661978,5,30,2.25,0.0
226,10_hard_pruned,0.06,0.00282167042889,5,30,2.25,0.0
227,10_medium_full,0.08,0.0025490046137,5,30,2.25,0.0
228,10_medium_pruned,0.17,0.00291800408521,5,30,2.25,0.0
229,10_medium_pruned,0.34,0.00138417883591,5,30,2.25,0.5
230,6_easy_full,0.46,0.0129249062944,5,30,2.25,0.0
231,6_easy_pruned,0.64,0.01500150015,5,30,2.25,0.0
232,6_easy_pruned,0.79,0.00905387052965,5,30,2.25,0.5
233,6_hard_full,0.12,0.00631592244047,5,30,2.25,0.0
234,6_hard_pruned,0.14,0.00700231076255,5,30,2.25,0.0
235,10_easy_full,0.24,0.00303812851284,10,30,2.25,0.0
236,10_easy_pruned,0.38,0.00299931015866,10,30,2.25,0.0
237,10_hard_full,0.15,0.00287794629752,10,30,2.25,0.0
238,10_hard_pruned,0.05,0.00278776727719,10,30,2.25,0.0
239,10_medium_full,0.06,0.00259834745102,10,30,2.25,0.0
240,10_medium_pruned,0.32,0.00258980136224,10,30,2.25,0.0
241,6_easy_full,0.45,0.013194352817,10,30,2.25,0.0
242,6_easy_full,0.61,0.00850918992512,10,30,2.25,0.5
243,6_easy_pruned,0.65,0.0133850890108,10,30,2.25,0.0
244,6_hard_full,0.08,0.006559527714,10,30,2.25,0.0
245,6_hard_pruned,0.1,0.00715819613457,10,30,2.25,0.0
246,10_easy_full,0.17,0.00294637595757,5,30,2.5,0.0
247,10_easy_pruned,0.34,0.00323593178656,5,30,2.5,0.0
248,10_hard_full,0.16,0.00290393773957,5,30,2.5,0.0
249,10_hard_pruned,0.05,0.00283366392746,5,30,2.5,0.0
250,10_hard_pruned,0.11,0.00143041052782,5,30,2.5,0.5
251,10_medium_full,0.07,0.00255682544553,5,30,2.5,0.0
252,10_medium_pruned,0.23,0.00286557583746,5,30,2.5,0.0
253,10_medium_pruned,0.32,0.00136147038802,5,30,2.5,0.5
254,6_easy_full,0.32,0.0125439036628,5,30,2.5,0.0
255,6_easy_full,0.47,0.0083970106642,5,30,2.5,0.5
256,6_easy_pruned,0.62,0.0145666423889,5,30,2.5,0.0
257,6_hard_full,0.19,0.00649392817715,5,30,2.5,0.0
258,6_hard_pruned,0.15,0.00694878743659,5,30,2.5,0.0
259,10_easy_full,0.18,0.00299769177733,10,30,2.5,0.0
260,10_easy_pruned,0.36,0.00296903298596,10,30,2.5,0.0
261,10_easy_pruned,0.49,0.00118063754427,10,30,2.5,1.0
262,10_hard_full,0.07,0.00293918819622,10,30,2.5,0.0
263,10_hard_pruned,0.05,0.00282485875706,10,30,2.5,0.0
264,10_hard_pruned,0.11,0.00115425458239,10,30,2.5,1.0
265,10_medium_full,0.07,0.00257208261529,10,30,2.5,0.0
266,10_medium_pruned,0.26,0.00258671978065,10,30,2.5,0.0
267,6_easy_full,0.4,0.0129282482224,10,30,2.5,0.0
268,6_easy_full,0.5,0.00869792119683,10,30,2.5,0.5
269,6_easy_pruned,0.49,0.0138370001384,10,30,2.5,0.0
270,6_easy_pruned,0.64,0.00866025807569,10,30,2.5,0.5
271,6_hard_full,0.08,0.00663570006636,10,30,2.5,0.0
